城 市,年份,index,Innt,Innp,Inns,open,pgdp,une,gov,hc,consum,infra,str
  石家庄市,2021.0,298.65,0.8942,0.7705500000000001,0.83276,0.13236731255265374,8.688622307043769,13.864672081742619,0.1065189553496209,4.066411371291554,0.4014592586352148,2.4423470353692043,2.5378
  唐山市,2021.0,277.23,0.79181,0.59589,0.67235,0.048564692830398,8.88336291691676,13.556484615095464,0.07032311745943698,2.807636075567298,0.2811754541672445,2.0781907597781832,2.3035
  秦皇岛市,2021.0,278.48,0.61092,0.68836,0.66212,0.12259786476868327,7.430114138561801,12.542484166022486,0.09400355871886122,2.2710221838711973,0.33475925266903916,0.9122827104766164,2.3968
  邯郸市,2021.0,276.64,0.73379,0.32877,0.65188,0.043461644212262854,8.19891444498699,13.240807527809523,0.07913665108605994,2.0707160853614774,0.33017915864723674,2.968874819384108,2.3607
  邢台市,2021.0,271.08,0.7406100000000001,0.47603,0.6450499999999999,0.06860454545454546,7.696212639346407,12.895111398045575,0.07994090909090909,1.7986688775289899,0.4450395,1.5303947050936475,2.3423
  保定市,2021.0,276.57,0.8395900000000001,0.54452,0.64846,0.06721041982802226,8.282483003730562,13.529946241483495,0.08823216995447648,3.00396330547725,0.3928414011127972,3.1346242724206097,2.4173
  张家口市,2021.0,274.47,0.55973,0.43835999999999997,0.22184,0.01914375,7.3777589082278725,12.757996065779562,0.109675,2.0131548266747763,0.351407125,1.6582280766035324,2.3956000000000004
  承德市,2021.0,267.13,0.4471,0.36644,0.15358,0.007709677419354838,7.346010209913293,12.519404189709745,0.07492903225806452,1.726794190375696,0.3058991612903226,1.1631508098056809,2.2451
  沧州市,2021.0,267.07,0.70648,0.43493000000000004,0.60068,0.04641621621621622,8.216088098632316,13.059779211935664,0.07442972972972972,2.194298077086375,0.28432910810810813,2.790551422613954,2.4422
  廊坊市,2021.0,297.31,0.7508499999999999,0.71233,0.81229,0.05163283853377764,8.101980731853192,12.87820301196736,0.10909421387458346,2.711650379343034,0.4029454710693729,2.255493485460195,2.5566000000000004
  衡水市,2021.0,271.31,0.57679,0.47945,0.61092,0.14092948717948717,7.352441100243583,12.389127266899957,0.08157692307692307,0.8235612192818783,0.37090314102564104,0.883767540168595,2.3847
  运城市,2021.0,287.05,0.51536,0.30822,0.42662,0.014914841849148418,7.404887575616125,12.852109874572506,0.054762773722627736,1.835473278418839,0.4323813868613139,1.545432582458188,2.3327
  吕梁市,2021.0,270.9,0.40956000000000004,0.29109999999999997,0.23549,0.013023407022106633,7.338238150065589,12.77571514046851,0.1217555266579974,0.6645933731418842,0.2968626788036411,1.9459101490553132,2.3068
呼和浩特市,2021.0,298.27,0.78498,0.86301,0.59386,0.02584791146019279,7.937731775260109,12.989736718242176,0.07750803284541236,3.2130669861849515,0.3687736522670475,0.3920420877760237,2.6181
  包头市,2021.0,290.71,0.58362,0.74658,0.30034,0.02360961607463222,7.932721027481948,12.745820946923244,0.052091855041263006,2.160249341211324,0.35443110871905276,0.62057648772511,2.5109
  乌海市,2021.0,294.45,0.09898,0.6849299999999999,0.59727,0.009058614564831261,6.333279628139691,11.243515437305897,0.09595026642984014,-0.45224229966709334,0.22693836589698047,-0.579818495252942,2.3338
  赤峰市,2021.0,259.78,0.46758000000000005,0.29452,0.054610000000000006,0.01542824730572887,7.47477218239787,12.619757214462565,0.06703346568349405,0.8791702117707137,0.33092433352240497,2.321406847234633,2.2954
鄂尔多斯市,2021.0,286.03,0.6041,0.82192,0.08532000000000001,0.006791171477079796,8.170185652879642,12.728131934738963,0.13154499151103566,0.3770656335864664,0.16000730050933787,1.9685099809725544,2.3554000000000004
呼伦贝尔市,2021.0,266.55,0.20137,0.24658000000000002,0.0273,0.02819112627986348,7.066466970136958,12.599907045074351,0.06808873720136518,-0.17805068994330872,0.2571877986348123,1.205970806988609,2.2243999999999997
巴彦淖尔市,2021.0,273.54,0.28669,0.5239699999999999,0.04096,0.02446224256292906,6.773080375655535,11.875058486466719,0.06511441647597253,0.10156331540944123,0.24985961098398168,0.8329091229351039,2.2001
乌兰察布市,2021.0,262.72,0.157,0.18151,0.04437,0.03059250302297461,6.717804695023691,11.941123543245938,0.0681136638452237,0.9575862142813266,0.27664945586457074,-0.2876820724517809,2.2623
  沈阳市,2021.0,301.75,0.92491,0.85616,0.8668899999999999,0.04174832623250152,8.790573479157159,13.984609243313882,0.11200243457090689,3.7845213970606015,0.5535039105295192,3.8903907053010323,2.5787
  大连市,2021.0,300.59,0.8976099999999999,0.8595900000000001,0.843,0.23791749644381222,8.857941984804711,13.862051527925079,0.09995448079658606,3.483508284266369,0.2600278520625889,3.766071949943842,2.469
  鞍山市,2021.0,273.7,0.53584,0.55137,0.57679,0.06393904542840713,7.461065514354283,12.773611250612442,0.09043703277745832,1.2669757721046697,0.39981776883266246,3.393165209964891,2.4664
  抚顺市,2021.0,276.53,0.23890999999999998,0.39726,0.36518999999999996,0.006884057971014493,6.71901315438526,12.213142594439539,0.0926207729468599,1.5195569676246603,0.21567185990338164,2.334083760053417,2.3876
  本溪市,2021.0,265.61,0.13652,0.36985999999999997,0.2901,0.12928395061728395,6.697034247666484,12.129526318388308,0.086,1.30852199094535,0.17636814814814814,2.717340248009303,2.3937999999999997
  丹东市,2021.0,268.57,0.32423,0.43151000000000006,0.28328,0.12766367137355583,6.658011045870748,12.044964485135417,0.09962772785622594,1.3208487620448215,0.33499756097560973,1.8421356765531218,2.362
